"Txhash","Blockno","UnixTimestamp","DateTime","From","To","ContractAddress","Value_IN(FTM)","Value_OUT(FTM)","CurrentValue @ $1.374/FTM","TxnFee(FTM)","TxnFee(USD)","Historical $Price/FTM","Status","ErrCode","Method"
"0x516dc086e3db24759edae0bfa3b130b06dfc037538740029d64756ccc150ecef","16748304","1631196989","2021-09-09 14:16:29","0x6f9518b5e6f9ff8782796221d0f64289cfc49649","0xed6c1d5bcce0f7e19f24598092f222d98a7d1b24","","3","0","4.122","0.003095670281298","0.00425345096650345","1.66","","","Transfer",""
"0x83c07ca874c155adbe260b3b34c491afea7307bc135b7e88edb619e79b94a10c","16748690","1631197403","2021-09-09 14:23:23","0xed6c1d5bcce0f7e19f24598092f222d98a7d1b24","0xd6c040026443770daaf08ccc07ecf5887f53301b","","0","0.2","0.2748","0.00374656065","0.0051477743331","1.66","","","Transfer",""
"0x57fc23b7632dcd5a71c1e1d3581311a326192ee751c0dcce2d832c18f7acf1a2","16751337","1631200939","2021-09-09 15:22:19","0xed6c1d5bcce0f7e19f24598092f222d98a7d1b24","0xce761d788df608bd21bdd59d6f4b54b2e27f25bb","","0","0","0","0.0207368191525","0.028492389515535","1.66","","","Summon",""
"0x558b594850345de3db90b63c07032b4c73d9176eabebf092319c6a6a489243a8","16751385","1631200999","2021-09-09 15:23:19","0xed6c1d5bcce0f7e19f24598092f222d98a7d1b24","0x4c40ce3fb33a6781c903bc830804de4195cc966f","","0","0","0","0.0087023605948","0.0119570434572552","1.66","","","Set_name",""
"0x6b1c9a780c70facbc76c3ed867c5ce047efa27401f29876fe1f71a053a4bc6bb","16751419","1631201032","2021-09-09 15:23:52","0xed6c1d5bcce0f7e19f24598092f222d98a7d1b24","0xce761d788df608bd21bdd59d6f4b54b2e27f25bb","","0","0","0","0.0121047748016","0.0166319605773984","1.66","","","Adventure",""
"0x0f1633bf10a9bedd2a3a103b1321b849fcb04bc27cdf955f7b5a849cb8b97d40","16752144","1631201880","2021-09-09 15:38:00","0xed6c1d5bcce0f7e19f24598092f222d98a7d1b24","0xce761d788df608bd21bdd59d6f4b54b2e27f25bb","","0","0","0","0.01920046192515","0.0263814346851561","1.66","","","Summon",""
"0x2ab8d0225eff5faedac015c36c968fac5cd911f9d0de3be2f82f621f24434991","16752218","1631201985","2021-09-09 15:39:45","0xed6c1d5bcce0f7e19f24598092f222d98a7d1b24","0xce761d788df608bd21bdd59d6f4b54b2e27f25bb","","0","0","0","0.0181879743627","0.0249902767743498","1.66","","","Summon",""
"0xb669ebfa786770db7fe9d8c2432422ccb2eda510c49be1d3f0ebafae40e4b93e","16894017","1631374018","2021-09-11 15:26:58","0xed6c1d5bcce0f7e19f24598092f222d98a7d1b24","0xce761d788df608bd21bdd59d6f4b54b2e27f25bb","","0","0","0","0.005782896765","0.00794570015511","1.55","","","Adventure",""
"0x75a28ce09e31f92f0ee15df0f2cfe1a53cb95df935bc2998849a864f796d97ec","16894059","1631374113","2021-09-11 15:28:33","0xed6c1d5bcce0f7e19f24598092f222d98a7d1b24","0xce761d788df608bd21bdd59d6f4b54b2e27f25bb","","0","0","0","0.011023525305","0.01514632376907","1.55","","","Adventure",""
"0xe900ab0e20cf91a6b544511a876c8a645bd5249116b422abf1bb18d311a0038a","16894074","1631374153","2021-09-11 15:29:13","0xed6c1d5bcce0f7e19f24598092f222d98a7d1b24","0xce761d788df608bd21bdd59d6f4b54b2e27f25bb","","0","0","0","0.0111625128","0.0153372925872","1.55","","","Adventure",""
"0x128cc25c5b6f7a1add90cef5f8ea5b8044d428cf29bc321245e4473a16e0d284","16991848","1631524634","2021-09-13 09:17:14","0xed6c1d5bcce0f7e19f24598092f222d98a7d1b24","0xce761d788df608bd21bdd59d6f4b54b2e27f25bb","","0","0","0","0.0061240946175","0.008414506004445","1.31","","","Adventure",""
"0x03587f1057888037384d40945bcb0ecc8542fbc559e9b73c9c3ba4bb5b4e9138","16991860","1631524649","2021-09-13 09:17:29","0xed6c1d5bcce0f7e19f24598092f222d98a7d1b24","0xce761d788df608bd21bdd59d6f4b54b2e27f25bb","","0","0","0","0.0061240946175","0.008414506004445","1.31","","","Adventure",""
"0x13321468f1d0d28dbc6d684d4d4ffa8fb86ffd7c366c322cda25e15850f20727","16991879","1631524667","2021-09-13 09:17:47","0xed6c1d5bcce0f7e19f24598092f222d98a7d1b24","0xce761d788df608bd21bdd59d6f4b54b2e27f25bb","","0","0","0","0.0061240946175","0.008414506004445","1.31","","","Adventure",""
"0x0603f8a09ee4574f0752b14868577de7df3da2aaedd28838bb91227311914407","17040638","1631618191","2021-09-14 11:16:31","0xed6c1d5bcce0f7e19f24598092f222d98a7d1b24","0xce761d788df608bd21bdd59d6f4b54b2e27f25bb","","0","0","0","0.006835763385","0.00939233889099","1.21","","","Adventure",""
"0x5efe7dd1635b4b233a292ba7763cc3221862a2bcafcbc661fa528b4464a8806e","17040845","1631618648","2021-09-14 11:24:08","0xed6c1d5bcce0f7e19f24598092f222d98a7d1b24","0xce761d788df608bd21bdd59d6f4b54b2e27f25bb","","0","0","0","0.00658294497","0.00904496638878","1.21","","","Adventure",""
"0x740d5b0d05bc9d210dc3a311ec5820b9b623053a2ca4274dc8ff04789f2d486f","17040864","1631618697","2021-09-14 11:24:57","0xed6c1d5bcce0f7e19f24598092f222d98a7d1b24","0xce761d788df608bd21bdd59d6f4b54b2e27f25bb","","0","0","0","0.00656412057","0.00901910166318","1.21","","","Adventure",""
"0xeea541ae533782f3cd6c4c59fd92a36e1b92dd9bd4e331e19de7d93dbd18cbaa","17086394","1631706480","2021-09-15 11:48:00","0xed6c1d5bcce0f7e19f24598092f222d98a7d1b24","0xce761d788df608bd21bdd59d6f4b54b2e27f25bb","","0","0","0","0.01276475094","0.01753876779156","1.44","","","Adventure",""
"0x8aed51b8ce00111b46011ae78cfa87936b41ab409023ad6273685cbe21a6a4fb","17086427","1631706518","2021-09-15 11:48:38","0xed6c1d5bcce0f7e19f24598092f222d98a7d1b24","0xce761d788df608bd21bdd59d6f4b54b2e27f25bb","","0","0","0","0.00826838979","0.01136076757146","1.44","","","Level_up",""
"0x5961f44f4728bbccd999b02093a3876084887c0f3569dfc03b4da7cf37721521","17086457","1631706566","2021-09-15 11:49:26","0xed6c1d5bcce0f7e19f24598092f222d98a7d1b24","0xce761d788df608bd21bdd59d6f4b54b2e27f25bb","","0","0","0","0.01812390084","0.02490223975416","1.44","","","Adventure",""
"0xdc9b336251e210c781029d0d0e848ee1be2c64812894631ab69ae52812e93d45","17086494","1631706618","2021-09-15 11:50:18","0xed6c1d5bcce0f7e19f24598092f222d98a7d1b24","0x2069b76afe6b734fb65d1d099e7ec64ee9cc76b2","","0","0","0","0.0313304516672","0.0430480405907328","1.44","","","Claim",""
"0x1ce73a7c696c84deca170099ffced22c29c543488582a3f062b1b162f5b543fb","17086526","1631706668","2021-09-15 11:51:08","0xed6c1d5bcce0f7e19f24598092f222d98a7d1b24","0xce761d788df608bd21bdd59d6f4b54b2e27f25bb","","0","0","0","0.01307618271","0.01796667504354","1.44","","","Adventure",""
"0xe91bbfbaf892c49a8abed404153c5eac18b15d8ecc7c284a14aaa684cbf0c270","17086585","1631706783","2021-09-15 11:53:03","0xed6c1d5bcce0f7e19f24598092f222d98a7d1b24","0xce761d788df608bd21bdd59d6f4b54b2e27f25bb","","0","0","0","0.0084589073025","0.011622538633635","1.44","","","Level_up",""
"0x3e6bbbd630b3aa5f96481b709ee95e1a7882eddf5be27fa77232eb4077ee1627","17095509","1631723767","2021-09-15 16:36:07","0xed6c1d5bcce0f7e19f24598092f222d98a7d1b24","0xce761d788df608bd21bdd59d6f4b54b2e27f25bb","","0","0","0","0.0113524392576","0.0155982515399424","1.44","Error(0)","Reverted","Level_up",""
"0x5ef14836e6b56c5ef35b872555aa30591c527b6d2e774053743bb46996e52c56","17129425","1631782651","2021-09-16 08:57:31","0xed6c1d5bcce0f7e19f24598092f222d98a7d1b24","0xce761d788df608bd21bdd59d6f4b54b2e27f25bb","","0","0","0","0.0055208896125","0.007585702327575","","","","Level_up",""
"0xf8609db38236923e177497b83d1648ae10a77e05e2cfa0eecefda5c625906074","17129427","1631782655","2021-09-16 08:57:35","0xed6c1d5bcce0f7e19f24598092f222d98a7d1b24","0xce761d788df608bd21bdd59d6f4b54b2e27f25bb","","0","0","0","0.0241148356065","0.033133784123331","","","","Summon",""
"0x8192ac67789f10609d8cab6dd2dbe90c6a978d75e265755b1555e99bb65833c2","17129443","1631782682","2021-09-16 08:58:02","0xed6c1d5bcce0f7e19f24598092f222d98a7d1b24","0xce761d788df608bd21bdd59d6f4b54b2e27f25bb","","0","0","0","0.0232069600665","0.031886363131371","","","","Summon",""
"0x09c7f112c2d732682d15abbc6375b0257f991356fd07f08c01b1eca4770b6165","17129448","1631782689","2021-09-16 08:58:09","0xed6c1d5bcce0f7e19f24598092f222d98a7d1b24","0xce761d788df608bd21bdd59d6f4b54b2e27f25bb","","0","0","0","0.0232069600665","0.031886363131371","","","","Summon",""
"0xfa19a17a3087982c10cab4dd5b4fb69a5770542618f82c731d4be751a9a071d5","17129450","1631782692","2021-09-16 08:58:12","0xed6c1d5bcce0f7e19f24598092f222d98a7d1b24","0xce761d788df608bd21bdd59d6f4b54b2e27f25bb","","0","0","0","0.0232069600665","0.031886363131371","","","","Summon",""
"0x0f34e95f4c54c6f526a1cafea17acc4bff5c2ead9437751be8f0528ab9f6d101","17129451","1631782693","2021-09-16 08:58:13","0xed6c1d5bcce0f7e19f24598092f222d98a7d1b24","0xce761d788df608bd21bdd59d6f4b54b2e27f25bb","","0","0","0","0.0232069600665","0.031886363131371","","","","Summon",""
"0x5f901c00f399a6958423ef283772ff1950b9814345e92050761115dd6999e7ec","17129454","1631782702","2021-09-16 08:58:22","0xed6c1d5bcce0f7e19f24598092f222d98a7d1b24","0xce761d788df608bd21bdd59d6f4b54b2e27f25bb","","0","0","0","0.0232069600665","0.031886363131371","","","","Summon",""
"0xeb626664ab6010909661ea3c0cbbc9438052a3aa4109a1131dca5e876571474e","17129466","1631782720","2021-09-16 08:58:40","0xed6c1d5bcce0f7e19f24598092f222d98a7d1b24","0xce761d788df608bd21bdd59d6f4b54b2e27f25bb","","0","0","0","0.023505828885","0.03229700888799","","","","Summon",""
"0xdd317868977baee786533fdac428b20862b4269af24cda5932c6d2775e1950fd","17129486","1631782777","2021-09-16 08:59:37","0xed6c1d5bcce0f7e19f24598092f222d98a7d1b24","0xce761d788df608bd21bdd59d6f4b54b2e27f25bb","","0","0","0","0.0234843700086","0.0322675243918164","","","","Summon",""
"0xbcf7ade58c93119f0565006899d4b48f13b6b03517f9bf5bdc05f930b56e37f0","17129536","1631782972","2021-09-16 09:02:52","0xed6c1d5bcce0f7e19f24598092f222d98a7d1b24","0xce761d788df608bd21bdd59d6f4b54b2e27f25bb","","0","0","0","0.0103224427911","0.0141830363949714","","","","Set Approval For All",""
